web-scraper-order,web-scraper-start-url,Numéros,Nombre de sorties,Pourcentage de sorties,Dernière sortie
"1709300619-1","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","1","28","6,59","05/09/23"
"1709300619-2","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","2","46","10,82","06/02/24"
"1709300619-3","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","3","37","8,71","27/02/24"
"1709300619-4","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","4","32","7,53","27/02/24"
"1709300619-5","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","5","46","10,82","30/01/24"
"1709300619-6","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","6","43","10,12","22/12/23"
"1709300619-7","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","7","40","9,41","06/02/24"
"1709300619-8","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","8","33","7,76","16/02/24"
"1709300619-9","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","9","41","9,65","27/02/24"
"1709300619-10","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","10","48","11,29","30/01/24"
"1709300619-11","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","11","43","10,12","07/11/23"
"1709300619-12","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","12","48","11,29","27/02/24"
"1709300619-13","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","13","41","9,65","16/02/24"
"1709300619-14","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","14","41","9,65","16/02/24"
"1709300619-15","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","15","40","9,41","02/01/24"
"1709300619-16","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","16","45","10,59","12/01/24"
"1709300619-17","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","17","47","11,06","13/02/24"
"1709300619-18","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","18","35","8,24","13/02/24"
"1709300619-19","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","19","49","11,53","30/01/24"
"1709300619-20","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","20","48","11,29","27/02/24"
"1709300619-21","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","21","64","15,06","06/02/24"
"1709300619-22","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","22","26","6,12","10/10/23"
"1709300619-23","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","23","47","11,06","20/02/24"
"1709300619-24","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","24","44","10,35","23/02/24"
"1709300619-25","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","25","44","10,35","05/12/23"
"1709300619-26","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","26","44","10,35","16/02/24"
"1709300619-27","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","27","47","11,06","23/02/24"
"1709300619-28","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","28","45","10,59","23/02/24"
"1709300619-29","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","29","44","10,35","24/11/23"
"1709300619-30","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","30","37","8,71","23/02/24"
"1709300619-31","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","31","34","8,00","20/02/24"
"1709300619-32","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","32","44","10,35","26/01/24"
"1709300619-33","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","33","42","9,88","16/01/24"
"1709300619-34","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","34","53","12,47","22/12/23"
"1709300619-35","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","35","54","12,71","09/02/24"
"1709300619-36","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","36","38","8,94","29/12/23"
"1709300619-37","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","37","45","10,59","20/02/24"
"1709300619-38","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","38","47","11,06","15/12/23"
"1709300619-39","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","39","35","8,24","23/01/24"
"1709300619-40","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","40","40","9,41","09/01/24"
"1709300619-41","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","41","39","9,18","26/01/24"
"1709300619-42","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","42","52","12,24","20/02/24"
"1709300619-43","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","43","36","8,47","19/12/23"
"1709300619-44","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","44","41","9,65","19/01/24"
"1709300619-45","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","45","44","10,35","09/02/24"
"1709300619-46","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","46","43","10,12","13/02/24"
"1709300619-47","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","47","41","9,65","26/12/23"
"1709300619-48","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","48","45","10,59","20/02/24"
"1709300619-49","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","49","36","8,47","23/02/24"
"1709300619-50","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","50","43","10,12","23/01/24"
"1709300619-51","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","1","61","14,35","23/02/24"
"1709300619-52","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","2","80","18,82","16/02/24"
"1709300619-53","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","3","89","20,94","20/02/24"
"1709300619-54","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","4","54","12,71","13/02/24"
"1709300619-55","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","5","57","13,41","27/02/24"
"1709300619-56","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","6","80","18,82","27/02/24"
"1709300619-57","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","7","73","17,18","20/02/24"
"1709300619-58","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","8","66","15,53","16/01/24"
"1709300619-59","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","9","72","16,94","13/02/24"
"1709300619-60","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","10","69","16,24","02/01/24"
"1709300619-61","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","11","75","17,65","06/02/24"
"1709300619-62","https://www.fdj.fr/jeux-de-tirage/euromillions-my-million/statistiques","12","74","17,41","23/02/24"
